title,level_easy,level_normal,level_hard,level_expert,level_master
「１」,8,13,16,23,26
＊ハロー、プラネット。,6,10,17,24,28
39みゅーじっく！,6,11,16,23,28
88☆彡,9,13,18,26,29
alive,6,11,16,23,26
Awake Now,6,12,17,24,30
Beat Eater,6,11,17,25,28
Blessing,5,11,16,23,27
Brand New Day,9,14,19,28,32
Color of Drops,6,12,16,23,27
Don't Fight The Music,9,15,23,30,36
drop pop candy,6,12,17,25,28
ECHO,6,12,16,23,26
Flyer!,9,12,18,24,29
Forward,6,11,16,24,28
from Y to Y,5,11,16,24,26
Gimme×Gimme,6,11,18,26,29
Glory Steady Go!,7,12,18,25,30
Hand in Hand,6,13,16,23,27
Happy Halloween,5,12,16,25,30
"Hello,world!",9,13,17,25,29
Just Be Friends,6,11,17,23,27
KING,7,14,19,25,29
Leia - Remind,9,13,18,25,28
magic number,6,11,18,25,29
Miku,6,12,17,24,28
needLe,7,12,17,25,29
Nostalogic,6,12,17,23,28
ODDS&ENDS,8,12,18,24,29
on the rocks,7,11,16,23,27
ONESELF,7,14,18,27,30
PaⅢ.SENSATION,8,12,17,24,29
Peaky Peaky,6,12,18,25,28
potatoになっていく,5,11,17,24,28
RAD DOGS,6,12,18,26,30
ray,6,12,16,24,26
Ready Steady,5,10,16,25,29
STAGE OF SEKAI,8,12,17,25,30
Tell Your World,5,10,16,22,26
the EmpErroR,9,15,23,31,36
アイスドロップ,7,12,18,24,27
アイディスマイル,7,12,17,25,28
アイデンティティ,9,13,18,26,31
アイドル新鋭隊,8,12,17,24,28
アイノマテリアル,6,11,16,22,26
アサガオの散る頃に,6,12,16,21,26
アスノヨゾラ哨戒班,8,12,17,25,28
アンノウン・マザーグース,8,12,17,26,29
いーあるふぁんくらぶ,6,12,17,24,28
いかないで,8,13,18,25,29
イフ,6,12,18,23,27
ヴィラン,6,13,18,25,29
うっせぇわ,8,12,17,24,28
ウミユリ海底譚,6,13,17,23,27
エンドマークに希望と涙を添えて,9,15,23,31,35
オーダーメイド,5,11,16,21,26
オルターエゴ,8,12,17,26,31
お気に召すまま,6,12,18,24,28
カゲロウデイズ,9,14,19,27,31
カトラリー,5,12,18,25,28
カナデトモスソラ,6,11,15,22,26
からくりピエロ,5,11,16,23,27
ガランド,7,13,18,24,28
グッバイ宣言,???,???,???,???,???
グリーンライツ・セレナーデ,9,14,19,27,31
ゴーストルール,9,14,19,27,32
コスモスパイス,7,12,17,25,30
サラマンダー,8,12,18,25,30
サンドリヨン 10th Anniversary,6,12,17,25,28
ジウダス,7,12,18,25,28
しっくおぶはうす！,7,13,17,26,30
シネマ,6,12,18,24,29
ジャックポットサッドガール,9,13,18,26,29
シャルル,6,11,17,23,27
ジャンキーナイトタウンオーケストラ,6,13,18,26,31
ショウタイム・ルーラー,9,13,19,25,31
スイートマジック,5,12,18,24,27
ステラ,8,13,17,26,30
セカイ,6,12,18,23,27
セカイはまだ始まってすらいない,6,13,16,24,29
そうだった！！,8,14,19,27,31
ダーリンダンス,7,12,17,25,30
タイムマシン,6,11,16,23,26
だれかの心臓になれたなら,7,12,18,25,29
ダンスロボットダンス,8,13,18,26,29
チュルリラ・チュルリラ・ダッダッダ！,6,13,18,26,31
チルドレンレコード,9,14,19,27,32
ツギハギスタッカート,6,11,16,24,27
テオ,9,14,19,27,32
テレキャスタービーボーイ,8,13,18,25,29
ドーナツホール,9,14,18,25,29
トキヲ・ファンカ,6,11,18,25,28
ドクター=ファンクビート,8,13,19,27,32
とても痛い痛がりたい,6,13,18,23,28
トラフィック・ジャム,6,13,18,24,28
ドラマツルギー,7,12,17,25,28
どりーみんチュチュ,6,13,17,23,27
トリコロージュ,7,13,18,24,28
トンデモワンダーズ,9,14,19,27,32
ナンセンス文学,7,11,18,25,29
ニア,6,11,16,22,26
ニジイロストーリーズ,9,13,18,25,29
にっこり^^調査隊のテーマ,8,12,18,27,31
ネクストネスト,6,13,18,27,29
ノマド,5,11,16,23,26
ハッピーシンセサイザ,6,11,18,24,28
ハロ／ハワユ,5,10,15,22,26
ピアノ×フォルテ×スキャンダル,6,11,18,26,30
ビターチョコデコレーション,7,12,19,25,31
ヒバナ -Reloaded-,9,14,19,28,32
ビバハピ,6,12,17,24,28
ヒビカセ,7,12,17,25,28
フィクサー,6,12,19,26,31
フラジール,6,11,17,24,27
ブラック★ロックシューター,7,12,16,24,27
ブリキノダンス,8,13,18,25,29
ブレス・ユア・ブレス,7,13,17,24,28
フロムトーキョー,6,12,18,24,28
ベノム,7,13,18,26,29
ぼうけんのしょがきえました！,8,13,19,26,31
ポジティブ☆ダンスタイム,9,14,18,26,31
ボッカデラベリタ,7,13,18,25,28
マシュマリー,8,11,18,26,29
マシンガンポエムドール,9,14,23,31,34
マトリョシカ,9,13,18,25,30
みくみくにしてあげる♪【してやんよ】,7,12,17,24,28
ミライ,6,12,18,24,28
ミラクルペイント,9,12,18,25,29
ミルククラウン・オン・ソーネチカ,7,13,18,26,30
メタモリボン,5,11,16,23,26
メルティランドナイトメア,6,12,17,24,26
メルト,7,12,17,25,28
モア！ジャンプ！モア！,8,13,18,26,31
ラストスコア,7,13,18,26,30
リモコン,7,12,17,24,29
ルカルカ★ナイトフィーバー,7,13,18,25,29
ロウワー,6,12,17,26,31
ローリンガール,8,12,18,26,31
ロキ,7,11,17,24,28
ロストワンの号哭,7,14,19,26,32
ロミオとシンデレラ,7,12,17,24,27
ワールズエンド・ダンスホール,7,12,18,26,30
ワールドイズマイン,7,13,17,24,28
ワールドワイドワンダー,6,13,18,24,28
ワーワーワールド,7,12,17,24,28
ワンスアポンアドリーム,6,11,16,22,27
阿吽のビーツ,6,13,18,23,28
愛されなくても君がいる,7,12,16,23,27
愛して愛して愛して,5,12,16,25,28
悪ノ召使,6,12,17,24,27
悪ノ娘,6,12,17,24,27
悪魔の踊り方,5,12,19,26,30
威風堂々,6,12,17,24,28
右肩の蝶,6,12,18,25,31
雨とペトラ,9,12,18,25,29
乙女解剖,5,12,16,24,27
花を唄う,6,12,19,25,30
悔やむと書いてミライ,8,13,17,26,30
去り人達のワルツ,8,13,17,23,28
君色マリンスノウ,9,14,19,28,31
群青讃歌,7,13,17,24,27
携帯恋話,8,12,18,25,29
月光,5,12,18,25,29
限りなく灰色へ,6,12,18,26,30
砂の惑星,5,11,16,23,27
再生,5,11,15,22,26
自傷無色,5,10,17,22,26
初音ミクの激唱,9,14,20,30,33
初音ミクの消失,9,15,22,30,35
初音天地開闢神話,9,14,20,28,32
少女レイ,7,14,17,24,27
心拍数♯0822,5,11,16,23,26
心予報,6,12,18,24,28
神のまにまに,6,13,18,25,29
青く駆けろ！,8,13,17,24,27
青色絵具,6,12,16,24,27
千年の独奏歌,5,11,16,23,27
千本桜,7,14,20,26,32
脱法ロック,7,13,18,26,31
地球最後の告白を,8,13,18,25,31
天使のクローバー,9,13,17,27,31
徳川カップヌードル禁止令,8,13,19,27,31
独りんぼエンヴィー,6,11,16,22,26
拝啓ドッペルゲンガー,9,13,19,28,32
泡沫未来,8,12,17,25,29
僕らまだアンダーグラウンド,7,12,18,25,28
命に嫌われている。,9,14,18,26,29
妄想感傷代償連盟,7,12,16,23,27
夜に駆ける,6,11,18,25,29
夜咄ディセイブ,8,14,19,26,30
幽霊東京,7,13,17,24,27
踊,6,13,18,26,29
裏表ラバーズ,8,12,18,26,30
流星のパルス,8,13,17,25,30
劣等上等,7,12,18,25,30
恋愛裁判,6,12,17,22,27
炉心融解,7,12,17,24,27
六兆年と一夜物語,9,14,20,29,34
霽れを待つ,7,12,17,26,30